original_id,conv_id,input_text,intent,entities,action_1,policy_1,bot_text,cv_outputs,Unnamed: 9,x,y,combine_text,kmeans_cluster,gm_cluster,hc_cluster,short_input_texts,short_bot_texts,short_entities
0.1,0,máy tiệt trùng uv đã có chưa ạ,query_knowledge_base,['object_type:may_tiet_trung'],action_query_babe_kb,,"Hiện tại sản phẩm Máy tiệt trùng  shop đang có những giá sau ạ:
<500-1M> <1M-2M> <Tất cả giá>",,,3.5118172,11.592027,máy tiệt trùng uv đã có chưa ạ,6,2,0,máy tiệt trùng uv đã có chưa ạ,Hiện tại sản phẩm Máy tiệt trùng  shop đang có nhữ-<br>,['object_type:may_tiet_trung']
0.1,0,"/confirm_attribute_value{""price"": ""500-1M""}",confirm_attribute_value,['price:500-1M'],action_query_babe_kb,,"Mời bạn click vào ""Xem chi tiết"" để tham khảo sản phẩm hiện có tại shop nhé!
<card sp 1> <card sp 2> <card sp 3>",,,13.593161,0.6692948, confirm attribute value  price    500 1m  ,5,5,0,"/confirm_attribute_value{""price"": ""500-1M""}","Mời bạn click vào ""Xem chi tiết"" để tham khảo sản -<br> phẩm hiện có tại shop nhé!
<card sp 1> <card sp 2>-<br>",['price:500-1M']
0.2,1,máy tiệt trùng uv đã có chưa ạ,query_knowledge_base,['object_type:may_tiet_trung'],action_query_babe_kb,,"Máy tiệt trùng uv hiện hết hàng mời bạn tham khảo các sản phẩm khác của shop
Recommend <sp1> <sp2> <sp3> <sp4>",,,3.5114582,11.592279,máy tiệt trùng uv đã có chưa ạ,6,2,0,máy tiệt trùng uv đã có chưa ạ,"Máy tiệt trùng uv hiện hết hàng mời bạn tham khảo -<br> các sản phẩm khác của shop
Recommend <sp1> <sp2> <-<br>",['object_type:may_tiet_trung']
0.2,1,Khi nào thì có hàng mới ạ,query_knowledge_base,,action_query_babe_kb,,Khoảng một tuần sau có hàng ạ,,,-7.000988,4.7270026,khi nào thì có hàng mới ạ,6,2,3,Khi nào thì có hàng mới ạ,Khoảng một tuần sau có hàng ạ,nan
1.1,2,https://scontent.xx.fbcdn.net/v/t1.15752-9/92827724_2847726851949741_1696232900455825408_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=Vw1pHh8MnN0AX8aJw4t&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=12087dbec406fb17040323a417f4ea20&oe=5EB568F4,send_link,"[""url:['https://scontent.xx.fbcdn.net/v/t1.15752-9/92827724_2847726851949741_1696232900455825408_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=Vw1pHh8MnN0AX8aJw4t&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=12087dbec406fb17040323a417f4ea20&oe=5EB568F4']""]",action_handle_send_link_only,,Bạn đang tìm kiếm thông tin gì ạ?,"[{'object_type': 'khan', 
'product_id': '1260',
'product_name':""Khăn khô đa năng MIPBI 600gr '''}]",,26.684872,-17.70443, khan,0,3,6, khan,Bạn đang tìm kiếm thông tin gì ạ?,url
1.1,2,E ơi còn giấy khô này k?,query_knowledge_base,"['object_type:khan','mention:này']",action_query_babe_kb,,"Khăn khô đa năng MIPBI 600gr hiện đang có giá là 61.000 (Giá gốc: 70.000) mời bạn tham khảo:
<show card sp>",,,-3.9353929,1.7273476,e ơi còn giấy khô này k ,6,2,3,E ơi còn giấy khô này k?,"Khăn khô đa năng MIPBI 600gr hiện đang có giá là 6-<br> 1.000 (Giá gốc: 70.000) mời bạn tham khảo:
<show c-<br>","['object_type:khan','mention:này']"
1.1,2,Đúng r ạ,agree,,utter_agree,,"Dạ, vâng ạ. ",,,-10.316471,12.443586,đúng r ạ,6,1,3,Đúng r ạ,"Dạ, vâng ạ. ",nan
1.2,3,https://scontent.xx.fbcdn.net/v/t1.15752-9/92827724_2847726851949741_1696232900455825408_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=Vw1pHh8MnN0AX8aJw4t&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=12087dbec406fb17040323a417f4ea20&oe=5EB568F4,send_link,"[""url:['https://scontent.xx.fbcdn.net/v/t1.15752-9/92827724_2847726851949741_1696232900455825408_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=Vw1pHh8MnN0AX8aJw4t&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=12087dbec406fb17040323a417f4ea20&oe=5EB568F4']""]",action_handle_send_link_only,,Bạn đang tìm kiếm thông tin gì ạ?,"[{'object_type': 'khan', 
'product_id': '1260',
'product_name':""Khăn khô đa năng MIPBI 600gr '''}]",,26.685055,-17.704378, khan,0,3,6, khan,Bạn đang tìm kiếm thông tin gì ạ?,url
1.2,3,E ơi còn giấy khô này k?,query_knowledge_base,"['object_type:khan','mention:này']",action_query_babe_kb,,"Khăn khô đa năng MIPBI 600gr  hiện hết hàng mời bạn tham khảo các sản phẩm khác của shop
Recommend <sp1> <sp2> <sp3> <sp4>",,,-3.9353929,1.7273476,e ơi còn giấy khô này k ,6,2,3,E ơi còn giấy khô này k?,"Khăn khô đa năng MIPBI 600gr  hiện hết hàng mời bạ-<br> n tham khảo các sản phẩm khác của shop
Recommend <-<br>","['object_type:khan','mention:này']"
2.1,4,https://scontent.xx.fbcdn.net/v/t1.15752-9/93088148_260667535096586_5162228618784407552_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=x7wswdCvMn8AX8w1Gx1&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=6b66cfd67139987f2f1390eeb9aed46d&oe=5EB7E07A,send_link,"[""url:['https://scontent.xx.fbcdn.net/v/t1.15752-9/93088148_260667535096586_5162228618784407552_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=x7wswdCvMn8AX8w1Gx1&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=6b66cfd67139987f2f1390eeb9aed46d&oe=5EB7E07A']""]",action_handle_send_link_only,,Bạn đang tìm kiếm thông tin gì ạ?,"[{'object_type': 'bang_ve', 'product_id': '2293', 'product_name': 'BẢNG VẼ HOLLA 2 in 1', }]",,32.937366,-19.799322, bang ve,0,3,6, bang_ve,Bạn đang tìm kiếm thông tin gì ạ?,url
